Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
Pje Cnel J F Bogado 4561,17,54900,3513600,3229,206682,1,64,SEGUNDO,ALMAGRO,5
Capital 0,26,63000,4032000,2864,183273,1,64,SEGUNDO,ALMAGRO,5
COLOMBRES 43,22,48000,3072000,2182,139636,1,64,SEGUNDO,ALMAGRO,5
Rawson 200 0,22,64000,4096000,2909,186182,1,64,SEGUNDO,ALMAGRO,5
Mexico 1800,27,61000,3904000,2259,144593,1,64,SEGUNDO,MONTSERRAT,1
AVDA. INDEPENDENCIA 2000,31,68000,4352000,2345,150069,1,64,SEGUNDO,BALVANERA,3
Mendoza 1700,28,89000,5696000,3708,237333,1,64,SEGUNDO,BELGRANO,13
Moldes 2556,17,54900,3513600,3229,206682,4,64,SEGUNDO,NUNEZ,5
